Sub,AgeAtTestingCalculated,Sex,TwinType,FA_A,FA_B,SC_A,SC_B
01319,36,1,1,5.155,3.41,4.91,5.17
01328,44,1,1,NA,4.425,NA,5.5600000000000005
01341,42,1,1,NA,3.29,NA,5.3
01357,39,1,1,5.39,4.235,6.22,4.880000000000001
01360,48,1,1,3.875,NA,4.7,NA
01387,33,2,3,NA,4.875,NA,5.51
01392,46,2,3,4.325,4.88,4.72,5.77
01403,46,2,3,4.3100000000000005,4.535,4.04,3.66
01427,31,2,3,NA,2.0149999999999997,NA,4.42
01438,22,2,3,2.15,NA,6.470000000000001,5.27
01440,39,2,1,NA,3.2649999999999997,NA,5.09
01443,28,2,1,5.84,NA,4.61,6.07
01445,47,2,1,5.4399999999999995,3.15,5.6,4.63
01454,35,2,1,NA,2.7649999999999997,NA,5.14
01467,45,2,1,NA,3.85,NA,4.03
01480,48,2,1,NA,NA,NA,5.18
01495,30,2,1,4.465,3.8699999999999997,5.15,4.77
01519,32,1,1,3.665,4.61,3.76,4.74
01544,21,1,1,4.895,4.855,5.8100000000000005,4.88
01569,30,1,1,4.22,3.445,5.84,5.85
01583,43,1,1,4.745,NA,4.4399999999999995,NA
01583,42,1,1,NA,4.4350000000000005,NA,4.93
01587,43,1,1,3.6399999999999997,5.15,5.66,5.54
01594,36,2,3,5.265,NA,5.11,NA
01598,48,2,3,5.435,NA,5.29,NA
01607,34,2,3,NA,3.885,NA,4.58
01609,48,2,3,NA,3.285,NA,6.11
01612,33,2,3,4.545,5.725,4.96,5.4
01614,43,2,3,3.6550000000000002,4.91,3.95,6.29
01638,40,2,3,NA,7.23,5.13,7.380000000000001
01662,38,2,3,3.7399999999999998,3.7199999999999998,6.33,6.05
01673,44,2,3,5.715,3.785,4.74,5.17
01682,49,2,3,5.36,4.2,4.75,5.09
01698,50,2,1,4.37,5.065,4.88,4.93
01710,36,2,1,4.0649999999999995,NA,5.4,NA
01715,30,2,1,5.39,NA,5.970000000000001,NA
01730,34,2,1,4.1850000000000005,4.755,4.790000000000001,5.0600000000000005
01732,47,2,1,5.24,4.36,5.74,5.3100000000000005
01734,46,2,1,3.7900000000000005,3.7050000000000005,4.32,4.67
01740,48,2,1,3.49,3,5.119999999999999,5.12
01745,40,2,1,4.885,NA,6,NA
01748,50,2,1,4.995,5.215,5.0600000000000005,5.17
01753,51,1,1,4.42,5.2,5.59,6.33
01754,46,1,1,6,5.145,5.260000000000001,6.24
01787,48,1,1,NA,4.87,NA,5.63
01843,44,2,3,3.9799999999999995,NA,5.3100000000000005,NA
01845,47,2,3,4.49,NA,4.5600000000000005,NA
